Age,Gender,Marital_Status,Dependents,Education,Employment_Type,Employer_Category,Work_Experience_Yrs,City_Tier,Net_Monthly_Income,Monthly_Expenses,Existing_EMI,Debt_To_Income_Ratio,CIBIL_Score,Loan_Amount_Requested,Loan_Tenure_Months,Loan_Approved
53,Male,Married,2,High School,Self-Employed,Self-Employed,11,Tier 2,34093,22599,0,0.663,624,300000,60,0
21,Female,Single,2,Master,Salaried,Startup,9,Tier 1,90363,42738,0,0.473,689,400000,60,1
25,Female,Married,2,Master,Salaried,Private SME,9,Tier 1,56468,42069,0,0.745,576,400000,48,0
33,Female,Single,2,Bachelor,Salaried,Private SME,4,Tier 1,12000,6197,0,0.516,813,100000,60,0
39,Male,Single,1,High School,Salaried,Government,4,Tier 2,41564,21634,4481,0.628,752,750000,24,1
32,Male,Married,2,Bachelor,Self-Employed,Self-Employed,3,Tier 1,49436,29909,8198,0.771,743,400000,12,0
45,Male,Married,1,Master,Salaried,Private SME,2,Tier 2,77635,46583,4481,0.658,763,50000,60,1
55,Female,Married,3,Bachelor,Self-Employed,Self-Employed,8,Tier 2,70611,26919,0,0.381,719,750000,60,1
32,Female,Married,2,Master,Self-Employed,Self-Employed,3,Tier 3,68008,28736,0,0.423,716,300000,36,1
50,Female,Divorced,0,Bachelor,Salaried,Private SME,0,Tier 1,30597,12366,0,0.404,802,300000,36,1
25,Male,Married,2,Bachelor,Self-Employed,Self-Employed,7,Tier 2,43170,13988,0,0.324,692,400000,48,1
54,Female,Single,1,Bachelor,Self-Employed,Self-Employed,6,Tier 1,83319,25835,8198,0.408,758,75000,36,1
42,Female,Single,3,Bachelor,Self-Employed,Self-Employed,7,Tier 1,63771,37640,4481,0.661,885,75000,48,1
59,Male,Single,2,Master,Self-Employed,Self-Employed,11,Tier 1,105685,55417,8198,0.602,727,150000,24,1
33,Male,Divorced,0,Master,Salaried,Private SME,6,Tier 2,61221,43011,0,0.703,663,75000,12,1
23,Male,Single,1,Bachelor,Self-Employed,Self-Employed,3,Tier 3,69690,30339,4481,0.5,675,400000,36,0
40,Male,Married,1,Bachelor,Salaried,Government,3,Tier 1,74338,48645,4481,0.715,669,1000000,24,0
51,Male,Single,2,Master,Self-Employed,Self-Employed,2,Tier 2,32772,11352,8198,0.597,538,750000,12,0
25,Male,Married,2,Master,Self-Employed,Self-Employed,2,Tier 1,82212,54868,8198,0.767,431,75000,24,0
44,Male,Single,1,Master,Salaried,Private SME,0,Tier 2,79569,56853,0,0.715,584,50000,24,0
60,Female,Divorced,2,Bachelor,Self-Employed,Self-Employed,6,Tier 1,31536,18363,0,0.582,609,50000,24,0
53,Male,Single,1,PhD,Self-Employed,Self-Employed,3,Tier 2,50731,32020,8198,0.793,640,75000,24,0
28,Male,Single,0,Master,Salaried,Startup,6,Tier 2,129360,96309,0,0.745,792,100000,36,1
44,Male,Single,0,High School,Self-Employed,Self-Employed,4,Tier 2,40893,19227,8198,0.671,602,50000,60,0
40,Male,Married,1,Bachelor,Self-Employed,Self-Employed,5,Tier 1,80275,25143,0,0.313,649,500000,24,1
36,Female,Married,0,Bachelor,Salaried,MNC,13,Tier 2,69774,42364,4481,0.671,813,300000,12,1
32,Male,Single,0,Master,Self-Employed,Self-Employed,10,Tier 2,75654,23150,0,0.306,701,100000,36,1
33,Male,Single,0,High School,Salaried,Startup,0,Tier 1,24312,13511,0,0.556,857,750000,36,0
59,Female,Married,2,Bachelor,Self-Employed,Self-Employed,3,Tier 1,67996,38680,0,0.569,581,150000,24,0
45,Male,Single,0,Bachelor,Salaried,Government,0,Tier 3,55182,31068,0,0.563,605,750000,24,0
52,Female,Single,0,High School,Salaried,MNC,4,Tier 3,40793,15283,4481,0.484,674,200000,12,1
44,Male,Single,0,Bachelor,Self-Employed,Self-Employed,7,Tier 1,60474,20228,0,0.334,695,750000,60,1
29,Male,Single,1,Master,Salaried,Government,10,Tier 2,83831,59392,8198,0.806,571,500000,36,0
